Task_Type,Workload_Level,Execution_Time,Resource_Type,Priority_Status,Energy_Consumption,Carbon_Emission,Emission_Category,Region,Time_Slot,Decision
Demand Forecasting,High,90,Container_Large,Critical,1.07,0.09,Very Low,Green_Region,Night,Execute Immediately
Payment Settlement,Low,15,VM_Small,Critical,0.41,0.17,Low,ap-east,Peak,Green Region Immediate
Payment Settlement,Critical,241,VM_XLarge,Medium,6.49,0.55,Medium,Green_Region,Peak,Schedule Night (Low Load)
Warehouse Allocation,Low,13,Container_Micro,Medium,0.11,0.02,Very Low,us-west,Night,Green Region Immediate
Shipment Tracking,Low,18,Container_Micro,Critical,0.16,0.01,Very Low,Green_Region,Off-Peak,Execute Immediately
Supplier Management,Critical,242,VM_XLarge,Critical,4.46,2.0,Very High,us-east,Night,Shift to Green Region + Night
Returns Processing,High,111,VM_Large,Critical,2.94,1.12,High,ap-east,Off-Peak,Shift to Green Region + Night
Fleet Dispatch,Critical,229,VM_XLarge,Low,4.91,0.3,Low,Green_Region,Off-Peak,Execute Immediately
Demand Forecasting,Low,26,Container_Micro,Critical,0.24,0.02,Very Low,Green_Region,Off-Peak,Execute Immediately
Warehouse Allocation,Critical,266,Bare_Metal,Low,7.82,3.9,Very High,us-east,Off-Peak,Shift to Green Region + Night
Quality Control,Critical,274,Bare_Metal,Medium,10.56,2.76,Very High,eu-central,Peak,Shift to Green Region + Night
Inventory Update,High,61,Container_Large,Low,0.7,0.46,Medium,ap-south,Night,Schedule Night (Low Load)
Quality Control,High,87,VM_Large,Critical,2.15,1.35,High,ap-south,Weekend,Shift to Green Region + Night
Quality Control,Medium,57,Container_Small,Medium,0.56,0.38,Low,ap-south,Night,Green Region Immediate
Supplier Management,Critical,151,VM_XLarge,Medium,3.43,0.2,Low,Green_Region,Off-Peak,Execute Immediately
Shipment Tracking,High,120,Container_Large,Critical,1.46,0.6,Medium,ap-east,Off-Peak,Schedule Night (Low Load)
Fleet Dispatch,Low,21,Container_Micro,Low,0.16,0.08,Very Low,ap-east,Night,Green Region Immediate
Inventory Update,High,88,VM_Large,Critical,2.25,0.96,High,ap-east,Weekend,Shift to Green Region + Night
Order Processing,Medium,42,VM_Medium,Medium,1.22,0.51,Medium,us-east,Peak,Schedule Night (Low Load)
Order Processing,Critical,261,Bare_Metal,Critical,7.04,1.93,Very High,us-west,Night,Shift to Green Region + Night
Demand Forecasting,High,115,VM_Large,Low,2.92,0.26,Low,Green_Region,Off-Peak,Execute Immediately
Order Processing,Medium,53,VM_Medium,High,1.23,0.49,Medium,us-east,Off-Peak,Schedule Night (Low Load)
Payment Settlement,High,111,VM_Large,Critical,2.9,1.86,Very High,ap-south,Weekend,Shift to Green Region + Night
Fleet Dispatch,Critical,180,Bare_Metal,Low,6.26,1.94,Very High,us-west,Off-Peak,Shift to Green Region + Night
Returns Processing,Medium,42,Container_Small,Medium,0.47,0.14,Very Low,eu-central,Off-Peak,Green Region Immediate
Payment Settlement,Critical,281,Bare_Metal,Medium,7.78,1.77,Very High,us-west,Weekend,Shift to Green Region + Night
Warehouse Allocation,High,82,VM_Large,Medium,2.01,0.17,Low,Green_Region,Weekend,Execute Immediately
Supplier Management,Low,29,Container_Micro,Low,0.24,0.11,Very Low,us-east,Weekend,Green Region Immediate
Inventory Update,High,104,Container_Large,Low,1.13,0.06,Very Low,Green_Region,Night,Execute Immediately
Payment Settlement,Medium,49,Container_Small,Low,0.49,0.12,Very Low,us-west,Weekend,Green Region Immediate
Inventory Update,Low,27,Container_Micro,Low,0.24,0.02,Very Low,Green_Region,Weekend,Execute Immediately
Order Processing,Critical,135,VM_XLarge,Critical,4.27,1.46,High,eu-central,Peak,Shift to Green Region + Night
Quality Control,High,105,Container_Large,Medium,1.36,0.35,Low,eu-central,Off-Peak,Green Region Immediate
Demand Forecasting,Low,30,Container_Micro,High,0.26,0.11,Very Low,ap-east,Weekend,Green Region Immediate
Supplier Management,High,90,VM_Large,High,2.26,1.35,High,ap-south,Weekend,Shift to Green Region + Night
Payment Settlement,Critical,193,Bare_Metal,Medium,6.31,1.62,Very High,us-west,Off-Peak,Shift to Green Region + Night
Payment Settlement,Medium,44,VM_Medium,Critical,0.91,0.1,Very Low,Green_Region,Night,Execute Immediately
Fleet Dispatch,Medium,55,VM_Medium,Critical,1.31,0.39,Low,eu-central,Off-Peak,Green Region Immediate
Fleet Dispatch,Critical,138,Bare_Metal,High,4.84,1.46,High,us-west,Weekend,Shift to Green Region + Night
Payment Settlement,Critical,146,Bare_Metal,High,4.89,1.04,High,us-west,Off-Peak,Shift to Green Region + Night
Fleet Dispatch,Critical,282,VM_XLarge,High,4.81,2.1,Very High,ap-east,Night,Shift to Green Region + Night
Payment Settlement,High,68,Container_Large,High,1.17,0.35,Low,us-west,Peak,Green Region Immediate
Warehouse Allocation,High,102,Container_Large,Medium,1.28,0.4,Medium,us-west,Weekend,Schedule Night (Low Load)
Fleet Dispatch,Critical,243,Bare_Metal,High,7.35,2.26,Very High,us-west,Weekend,Shift to Green Region + Night
Returns Processing,Medium,59,Container_Small,High,0.63,0.24,Low,ap-east,Off-Peak,Green Region Immediate
Supplier Management,Critical,215,VM_XLarge,Low,5.84,1.51,High,us-west,Peak,Shift to Green Region + Night
Quality Control,High,118,VM_Large,High,3.11,2.09,Very High,ap-south,Off-Peak,Shift to Green Region + Night
Supplier Management,Low,23,Container_Micro,Critical,0.2,0.02,Very Low,Green_Region,Weekend,Execute Immediately
Order Processing,High,109,Container_Large,Critical,1.72,0.7,Medium,ap-east,Peak,Schedule Night (Low Load)
Quality Control,Medium,44,Container_Small,High,0.42,0.15,Low,eu-central,Night,Green Region Immediate
Shipment Tracking,Critical,285,VM_XLarge,Medium,5.7,2.83,Very High,us-east,Off-Peak,Execute Immediately
Fleet Dispatch,Low,27,Container_Micro,Critical,0.3,0.08,Very Low,us-west,Peak,Green Region Immediate
Inventory Update,Critical,280,Bare_Metal,Medium,7.73,1.95,Very High,eu-central,Night,Shift to Green Region + Night
Inventory Update,Low,23,Container_Micro,Medium,0.19,0.08,Very Low,ap-east,Weekend,Green Region Immediate
Warehouse Allocation,Critical,166,Bare_Metal,Medium,7.53,3.74,Very High,ap-east,Peak,Shift to Green Region + Night
Returns Processing,Critical,183,Bare_Metal,High,7.48,3.64,Very High,us-east,Peak,Shift to Green Region + Night
Inventory Update,Medium,48,Container_Small,Critical,0.69,0.04,Very Low,Green_Region,Peak,Execute Immediately
Order Processing,High,64,VM_Large,Critical,1.71,0.63,Medium,eu-central,Weekend,Schedule Night (Low Load)
Demand Forecasting,Critical,223,Bare_Metal,High,6.11,1.97,Very High,eu-central,Night,Shift to Green Region + Night
Fleet Dispatch,High,66,Container_Large,Critical,1.1,0.12,Very Low,Green_Region,Peak,Execute Immediately
Returns Processing,Low,22,Container_Micro,Medium,0.18,0.06,Very Low,eu-central,Weekend,Execute Immediately
Quality Control,Low,18,VM_Small,High,0.4,0.2,Low,us-east,Off-Peak,Green Region Immediate
Order Processing,Critical,153,Bare_Metal,Low,4.56,1.98,Very High,us-east,Night,Shift to Green Region + Night
Supplier Management,Low,20,VM_Small,High,0.4,0.13,Very Low,us-west,Off-Peak,Green Region Immediate
Warehouse Allocation,Medium,43,VM_Medium,High,0.88,0.53,Medium,ap-south,Weekend,Schedule Night (Low Load)
Demand Forecasting,Medium,59,Container_Small,Medium,0.6,0.15,Low,us-west,Night,Green Region Immediate
Demand Forecasting,Low,14,VM_Small,Medium,0.41,0.24,Low,ap-south,Peak,Green Region Immediate
Order Processing,Critical,202,Bare_Metal,High,5.89,0.7,Medium,Green_Region,Weekend,Schedule Night (Low Load)
Order Processing,Critical,216,VM_XLarge,Medium,4.44,1.76,Very High,ap-east,Off-Peak,Shift to Green Region + Night
Returns Processing,High,104,Container_Large,Low,1.72,0.35,Low,us-west,Peak,Green Region Immediate
Supplier Management,Medium,60,Container_Small,Critical,0.64,0.23,Low,eu-central,Weekend,Green Region Immediate
Quality Control,Low,22,VM_Small,High,0.58,0.15,Low,eu-central,Peak,Green Region Immediate
Supplier Management,Medium,48,VM_Medium,Medium,1.35,0.85,High,ap-south,Peak,Shift to Green Region + Night
Order Processing,High,74,Container_Large,High,0.95,0.29,Low,eu-central,Off-Peak,Green Region Immediate
Supplier Management,Low,14,Container_Micro,High,0.16,0.08,Very Low,ap-east,Peak,Execute Immediately
Warehouse Allocation,Critical,156,VM_XLarge,Medium,3.31,0.71,Medium,us-west,Weekend,Schedule Night (Low Load)
Quality Control,Medium,39,Container_Small,Medium,0.53,0.23,Low,ap-east,Peak,Green Region Immediate
Payment Settlement,Low,14,VM_Small,High,0.28,0.13,Very Low,us-east,Night,Green Region Immediate
Fleet Dispatch,Low,29,VM_Small,Medium,0.54,0.17,Low,us-west,Weekend,Green Region Immediate
Supplier Management,Medium,37,VM_Medium,Medium,0.84,0.39,Low,ap-east,Off-Peak,Green Region Immediate
Inventory Update,Critical,196,Bare_Metal,Low,6.52,4.2,Very High,ap-south,Off-Peak,Shift to Green Region + Night
Quality Control,High,68,VM_Large,Medium,1.96,0.14,Very Low,Green_Region,Off-Peak,Execute Immediately
Payment Settlement,High,65,VM_Large,Critical,2.38,0.24,Low,Green_Region,Peak,Execute Immediately
Quality Control,Low,28,VM_Small,Medium,0.7,0.49,Medium,ap-south,Peak,Schedule Night (Low Load)
Payment Settlement,Critical,166,Bare_Metal,Medium,4.98,1.25,High,eu-central,Night,Shift to Green Region + Night
Fleet Dispatch,Critical,248,Bare_Metal,Low,9.95,2.13,Very High,us-west,Peak,Shift to Green Region + Night
Demand Forecasting,High,120,Container_Large,Critical,1.34,0.95,High,ap-south,Night,Shift to Green Region + Night
Quality Control,Medium,59,Container_Small,Critical,0.64,0.29,Low,ap-east,Weekend,Green Region Immediate
Returns Processing,Critical,173,VM_XLarge,Medium,3.54,0.95,High,eu-central,Weekend,Shift to Green Region + Night
Warehouse Allocation,Low,22,Container_Micro,Critical,0.25,0.06,Very Low,us-west,Peak,Green Region Immediate
Supplier Management,High,96,Container_Large,Medium,1.16,0.58,Medium,us-east,Weekend,Schedule Night (Low Load)
Quality Control,Critical,267,VM_XLarge,Critical,6.93,1.52,High,us-west,Peak,Shift to Green Region + Night
Supplier Management,Critical,285,Bare_Metal,Medium,8.53,2.41,Very High,eu-central,Weekend,Shift to Green Region + Night
Shipment Tracking,Low,12,Container_Micro,Low,0.11,0.07,Very Low,ap-south,Weekend,Green Region Immediate
Supplier Management,Medium,36,VM_Medium,High,0.7,0.26,Low,eu-central,Night,Green Region Immediate
Demand Forecasting,Medium,54,VM_Medium,Medium,1.52,0.68,Medium,us-east,Peak,Schedule Night (Low Load)
Demand Forecasting,High,108,Container_Large,Low,1.27,0.48,Medium,eu-central,Weekend,Schedule Night (Low Load)
Order Processing,Critical,253,VM_XLarge,Low,6.34,2.56,Very High,ap-east,Peak,Green Region Immediate
Returns Processing,Medium,43,VM_Medium,Medium,1.27,0.07,Very Low,Green_Region,Peak,Execute Immediately
Inventory Update,Low,12,Container_Micro,Low,0.11,0.07,Very Low,ap-south,Off-Peak,Green Region Immediate
Demand Forecasting,High,115,Container_Large,Medium,1.28,0.1,Very Low,Green_Region,Night,Execute Immediately
Warehouse Allocation,Critical,135,Bare_Metal,Low,5.96,3.96,Very High,ap-south,Peak,Shift to Green Region + Night
Warehouse Allocation,Low,30,VM_Small,Critical,0.5,0.11,Very Low,us-west,Night,Green Region Immediate
Order Processing,Critical,296,Bare_Metal,Low,8.98,0.62,Medium,Green_Region,Off-Peak,Schedule Night (Low Load)
Warehouse Allocation,High,71,VM_Large,Low,1.83,0.52,Medium,eu-central,Weekend,Schedule Night (Low Load)
Inventory Update,Critical,255,VM_XLarge,Critical,6.57,1.43,High,us-west,Peak,Shift to Green Region + Night
Payment Settlement,High,102,VM_Large,High,2.64,1.08,High,us-east,Weekend,Shift to Green Region + Night
Demand Forecasting,Low,27,Container_Micro,High,0.21,0.02,Very Low,Green_Region,Night,Execute Immediately
Quality Control,High,118,Container_Large,High,1.35,0.08,Very Low,Green_Region,Night,Execute Immediately
Warehouse Allocation,Medium,43,Container_Small,Low,0.6,0.17,Low,eu-central,Peak,Green Region Immediate
Fleet Dispatch,High,90,Container_Large,High,1.17,0.45,Medium,ap-east,Off-Peak,Schedule Night (Low Load)
Inventory Update,Low,22,VM_Small,High,0.56,0.05,Very Low,Green_Region,Peak,Execute Immediately
Shipment Tracking,High,76,Container_Large,High,1.02,0.43,Medium,ap-east,Off-Peak,Schedule Night (Low Load)
Shipment Tracking,Low,21,VM_Small,Medium,0.38,0.19,Low,ap-east,Night,Green Region Immediate
Fleet Dispatch,Medium,36,Container_Small,High,0.38,0.17,Low,us-east,Off-Peak,Green Region Immediate
Order Processing,High,104,Container_Large,Low,1.64,0.67,Medium,us-east,Peak,Schedule Night (Low Load)
Inventory Update,Critical,175,Bare_Metal,Medium,6.02,2.72,Very High,us-east,Off-Peak,Shift to Green Region + Night
Shipment Tracking,Medium,40,Container_Small,Critical,0.38,0.12,Very Low,us-west,Weekend,Green Region Immediate
Order Processing,Critical,272,Bare_Metal,Critical,11.07,3.59,Very High,eu-central,Peak,Shift to Green Region + Night
Demand Forecasting,High,63,VM_Large,Critical,2.27,1.0,High,us-east,Peak,Shift to Green Region + Night
Shipment Tracking,Medium,33,Container_Small,Critical,0.45,0.14,Very Low,us-west,Peak,Green Region Immediate
Quality Control,Medium,42,VM_Medium,High,0.94,0.41,Medium,ap-east,Weekend,Schedule Night (Low Load)
Shipment Tracking,Medium,40,Container_Small,Medium,0.43,0.22,Low,ap-east,Off-Peak,Green Region Immediate
Fleet Dispatch,High,105,VM_Large,Medium,2.58,0.97,High,eu-central,Weekend,Shift to Green Region + Night
Returns Processing,Medium,52,Container_Small,Medium,0.51,0.36,Low,ap-south,Night,Green Region Immediate
Warehouse Allocation,Medium,32,VM_Medium,Critical,0.68,0.47,Medium,ap-south,Off-Peak,Schedule Night (Low Load)
Returns Processing,High,82,VM_Large,High,2.08,1.03,High,ap-east,Weekend,Shift to Green Region + Night
Order Processing,Critical,141,Bare_Metal,Medium,6.56,0.37,Low,Green_Region,Peak,Execute Immediately
Returns Processing,Low,10,Container_Micro,Low,0.11,0.05,Very Low,us-east,Peak,Green Region Immediate
Order Processing,High,75,Container_Large,High,0.96,0.41,Medium,us-east,Off-Peak,Shift to Green Region + Night
Fleet Dispatch,Critical,133,VM_XLarge,High,4.43,1.84,Very High,us-east,Peak,Shift to Green Region + Night
Shipment Tracking,High,104,Container_Large,Critical,1.23,0.39,Low,us-west,Weekend,Green Region Immediate
Returns Processing,Medium,44,Container_Small,Critical,0.59,0.19,Low,eu-central,Peak,Green Region Immediate
Fleet Dispatch,Critical,189,VM_XLarge,Critical,5.15,2.56,Very High,us-east,Peak,Shift to Green Region + Night
Inventory Update,Critical,265,VM_XLarge,Low,4.63,1.89,Very High,ap-east,Night,Shift to Green Region + Night
Payment Settlement,Medium,41,Container_Small,Critical,0.41,0.03,Very Low,Green_Region,Weekend,Execute Immediately
Inventory Update,High,61,VM_Large,High,2.16,1.1,High,ap-east,Peak,Shift to Green Region + Night
Supplier Management,High,103,VM_Large,Low,2.37,0.82,High,eu-central,Night,Shift to Green Region + Night
Order Processing,Low,24,VM_Small,Low,0.47,0.15,Low,eu-central,Weekend,Green Region Immediate
Returns Processing,Low,11,Container_Micro,High,0.09,0.04,Very Low,ap-east,Night,Green Region Immediate
Demand Forecasting,Medium,43,VM_Medium,High,1.27,0.74,Medium,ap-south,Peak,Schedule Night (Low Load)
Returns Processing,Medium,44,Container_Small,Low,0.63,0.3,Low,us-east,Peak,Green Region Immediate
Quality Control,Critical,176,Bare_Metal,High,7.25,4.65,Very High,ap-south,Peak,Shift to Green Region + Night
Shipment Tracking,Medium,48,VM_Medium,High,1.05,0.26,Low,eu-central,Off-Peak,Execute Immediately
Inventory Update,Medium,31,VM_Medium,Low,0.58,0.15,Low,eu-central,Night,Green Region Immediate
Demand Forecasting,Low,11,VM_Small,High,0.26,0.08,Very Low,us-west,Weekend,Green Region Immediate
Demand Forecasting,Medium,46,Container_Small,Low,0.66,0.26,Low,us-east,Peak,Green Region Immediate
Shipment Tracking,Low,26,VM_Small,Critical,0.45,0.31,Low,ap-south,Night,Green Region Immediate
Quality Control,Medium,38,Container_Small,Critical,0.35,0.17,Low,us-east,Night,Green Region Immediate
Demand Forecasting,Medium,45,VM_Medium,Low,1.27,0.1,Very Low,Green_Region,Peak,Execute Immediately
Shipment Tracking,Medium,31,VM_Medium,Critical,0.63,0.3,Low,ap-east,Night,Green Region Immediate
Inventory Update,Medium,53,Container_Small,Medium,0.59,0.16,Low,us-west,Off-Peak,Green Region Immediate
Payment Settlement,High,83,VM_Large,High,2.05,1.27,High,ap-south,Weekend,Shift to Green Region + Night
Order Processing,Critical,276,VM_XLarge,High,5.12,3.61,Very High,ap-south,Weekend,Shift to Green Region + Night
Returns Processing,Low,12,Container_Micro,Medium,0.1,0.04,Very Low,ap-east,Weekend,Green Region Immediate
Demand Forecasting,Low,11,VM_Small,Low,0.27,0.09,Very Low,eu-central,Off-Peak,Green Region Immediate
Returns Processing,Medium,31,Container_Small,High,0.31,0.04,Very Low,Green_Region,Off-Peak,Execute Immediately
Returns Processing,Medium,56,Container_Small,Low,0.63,0.45,Medium,ap-south,Off-Peak,Schedule Night (Low Load)
Quality Control,Low,27,Container_Micro,Critical,0.21,0.1,Very Low,ap-east,Night,Green Region Immediate
Warehouse Allocation,Low,13,VM_Small,High,0.29,0.08,Very Low,us-west,Weekend,Green Region Immediate
Returns Processing,Low,20,Container_Micro,High,0.19,0.04,Very Low,us-west,Off-Peak,Green Region Immediate
Demand Forecasting,High,108,Container_Large,High,1.32,0.91,High,ap-south,Off-Peak,Shift to Green Region + Night
Inventory Update,Medium,39,VM_Medium,Medium,0.78,0.38,Low,us-east,Night,Green Region Immediate
Fleet Dispatch,Low,23,VM_Small,High,0.61,0.27,Low,us-east,Peak,Green Region Immediate
Shipment Tracking,Low,28,VM_Small,High,0.5,0.14,Very Low,us-west,Night,Green Region Immediate
Returns Processing,Critical,288,VM_XLarge,High,5.51,1.33,High,us-west,Off-Peak,Shift to Green Region + Night
Warehouse Allocation,Medium,60,VM_Medium,Low,1.4,0.16,Low,Green_Region,Off-Peak,Execute Immediately
Quality Control,Medium,60,Container_Small,Low,0.84,0.07,Very Low,Green_Region,Peak,Green Region Immediate
Fleet Dispatch,Critical,177,Bare_Metal,High,5.3,1.52,High,eu-central,Weekend,Shift to Green Region + Night
Fleet Dispatch,Low,16,VM_Small,Critical,0.3,0.11,Very Low,eu-central,Night,Green Region Immediate
Returns Processing,Critical,214,Bare_Metal,High,6.07,0.5,Medium,Green_Region,Night,Schedule Night (Low Load)
Order Processing,Low,14,VM_Small,High,0.39,0.05,Very Low,Green_Region,Peak,Execute Immediately
Payment Settlement,Critical,281,Bare_Metal,Medium,11.07,2.63,Very High,us-west,Peak,Shift to Green Region + Night
Payment Settlement,Low,17,VM_Small,High,0.46,0.02,Very Low,Green_Region,Peak,Execute Immediately
Shipment Tracking,Medium,45,VM_Medium,High,1.01,0.12,Very Low,Green_Region,Off-Peak,Execute Immediately
Quality Control,High,113,VM_Large,Medium,2.87,0.8,High,us-west,Off-Peak,Shift to Green Region + Night
